1\Tenacity\1\1\100, 0\300, 0\Increase DEF by 3%\Increase DEF by 5%\-\\\
143\Powder Sugar Snow Tale\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Caster drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Hayosena\\
144\Snake Chocolate (with Love)\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Assassin drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
145\Knife Chocolate Bitter\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Assassin drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Akita Inu\\
146\From Java With Love\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Assassin drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Kuzuboshi Hikaru\\
147\Blood Ruby Chocolate\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Assassin drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
148\Dear Mom\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Assassin drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Akita Inu\\
149\Du Stallion Chocolate\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Assassin drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
150\Kiyohime with Ribbons\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Berserker drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
151\Wonderful Life\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Berserker drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Ichihashi Makoto\\
152\Hexagon Chocobolt\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Berserker drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Akita Inu\\
153\St. Orleans\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of All drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
154\Decapitating Bunny\5\12\0, 500\0, 2000\Apply Ignore Invincible; Increase Quick Card effectiveness by 8%; Increase [Vengeful Spirit of Seven People] appearance rate by 25% [KnK]\Apply Ignore Invincible; Increase Quick Card effectiveness by 10%; Increase [Vengeful Spirit of Seven People] appearance rate by 50% [KnK]\-\Sudou Tomonori (ufotable)\\\Kara no Kyoukai/The Garden of Order
155\Mature Gentleman\5\12\750, 0\3000, 0\Increase Death Resist by 60%; Increase Black Cat Figurine drop amount by 1 [KnK]\Increase Death Resist by 80%; Increase Black Cat Figurine drop amount by 2 [KnK]\-\Sudou Tomonori (ufotable)\\\Kara no Kyoukai/The Garden of Order
156\Grand Puppeteer\5\12\250, 400\1000, 1600\Increase NP Gauge by 50% at the start of battle; Increase Arts Card effectiveness by 15% (3 turns); Increase Black Cat Figurine drop amount by 1 [KnK]\Increase NP Gauge by 60% at the start of battle; Increase Arts Card effectiveness by 20% (3 turns); Increase Black Cat Figurine drop amount by 2 [KnK]\-\Sudou Tomonori (ufotable)\\\Kara no Kyoukai/The Garden of Order
157\Threefold Barrier\5\12\750, 0\3000, 0\Apply Damage Cut 1,000 (3 times); Increase [Base Model] appearance rate by 25% [KnK]\Apply Damage Cut 1,200 (3 times); Increase [Base Model] appearance rate by 50% [KnK]\-\Takahashi Takuro (ufotable)\\\Kara no Kyoukai/The Garden of Order
158\Vivid Dance of Fists\4\9\0, 400\0, 1500\Apply Damage Plus 800; Increase Strawberry Ice Cream drop amount by 1 [KnK]\Apply Damage Plus 1000; Increase Strawberry Ice Cream drop amount by 2 [KnK]\-\Ogasawara Atsushi (ufotable)\\\Kara no Kyoukai/The Garden of Order
159\Mystic Eyes of Distortion\4\9\0, 400\0, 1500\Increase Buster Card effectiveness by 20%; Decrease DEF by 15% [Demerit]; Increase Strawberry Ice Cream drop amount by 1 [KnK]\Increase Buster Card effectiveness by 25%; Decrease DEF by 15% [Demerit]; Increase Strawberry Ice Cream drop amount by 2 [KnK]\-\Shiojima Yuka (ufotable)\\\Kara no Kyoukai/The Garden of Order
160\Summer's Precognition\4\9\600, 0\2250, 0\Apply Evade (1 time); Increase Critical Star Drop Rate by 15%; Increase [Living Corpse] appearance rate by 25% [KnK]\Apply Evade (1 time); Increase Critical Star Drop Rate by 20%; Increase [Living Corpse] appearance rate by 50% [KnK]\-\Kikuchi Junya (ufotable)\\\Kara no Kyoukai/The Garden of Order
161\Chorus\4\9\320, 200\1200, 750\Increase Critical Star Gather Rate by 300% (3 turns); Increase Debuff Resist by 15% (3 turns); Increase [Apartment Ghost, Skeleton] appearance rate by 25% [KnK]\Increase Critical Star Gather Rate by 400% (3 turns); Increase Debuff Resist by 20% (3 turns); Increase [Apartment Ghost, Skeleton] appearance rate by 50% [KnK]\-\Kikuchi Junya (ufotable)\\\Kara no Kyoukai/The Garden of Order
162\Sprinter\3\5\300, 0\1500, 0\Increase Quick Card effectiveness by 5%; Increase Debuff Resist by 10%; Increase Mineral Water drop amount by 1 [KnK]\Increase Quick Card effectiveness by 8%; Increase Debuff Resist by 15%; Increase Mineral Water drop amount by 1 [KnK]\-\Shiojima Yuka (ufotable)\\\Kara no Kyoukai/The Garden of Order
163\Repeat Magic\3\5\0, 200\0, 1000\Increase NP Gauge by 20% at the start of battle; Increase NP Gain by 10%; Increase Mineral Water drop amount by 1 [KnK]\Increase NP Gauge by 30% at the start of battle; Increase NP Gain by 15%; Increase Mineral Water drop amount by 1 [KnK]\-\Shiojima Yuka (ufotable)\\\Kara no Kyoukai/The Garden of Order
164\Kuji Kanesada\3\5\0, 0\0, 0\No Effect; Increase Craft Essence EXP by 18,000 when used as synthesis material.\\-\\EXPCard\\Kara no Kyoukai/The Garden of Order
165\Kiss Your Hand\5\12\0, 500\0, 2000\Increase Arts Card effectiveness by 10%; Increase Buster Card effectiveness by 10%; Increase Quick Card effectiveness by 10%\Increase Arts Card effectiveness by 12%; Increase Buster Card effectiveness by 12%; Increase Quick Card effectiveness by 12%\-\Takarai Rihito\\\Chaldea Boys Collection 2016
166\Teacher and I\5\12\750, 0\3000, 0\Increase NP Gauge by 50% at the start of battle; Increase Critical Star Gather Rate by 300%\Increase NP Gauge by 60% at the start of battle; Increase Critical Star Gather Rate by 400%\-\Sara Chiyomi\\\Chaldea Boys Collection 2016
167\Versus\5\12\400, 250\1600, 1000\Apply Special Attack [Divine] 80% (3 turns); Apply Special Defense [Divine] 40% (3 turns)\Apply Special Attack [Divine] 100% (3 turns); Apply Special Defense [Divine] 50% (3 turns)\-\Shiramine\\\Chaldea Boys Collection 2016
168\Beasts Under the Moon\4\9\0, 400\0, 1500\Increase NP Gain by 12%; Increase Critical Star Drop Rate by 12%; Restore 200 HP per turn\Increase NP Gain by 15%; Increase Critical Star Drop Rate by 15%; Restore 300 HP per turn\-\Teita\\\Chaldea Boys Collection 2016
169\Glass Full Sweet Time\4\9\320, 200\100, 750\Apply Sure Hit; Apply Damage Plus 400; Apply Damage Cut 200\Apply Sure Hit; Apply Damage Plus 600; Apply Damage Cut 300\-\Yamada J-Dai\\\Chaldea Boys Collection 2016
170\Salon de Marie\3\5\300, 0\1500, 0\Apply Evade (1 time); Increase HP Recovery Amount by 5%; Increase Debuff Success Rate by 3%\Apply Evade (1 time); Increase HP Recovery Amount by 10%; Increase Debuff Success Rate by 5%\-\Yukihiro Utako\\\Chaldea Boys Collection 2016
171\Prince of Slayer\3\5\160, 100\800, 500\Gain 1 Critical Stars per turn; Apply Special Attack [Dragon] 8%\Gain 2 Critical Stars per turn; Apply Special Attack [Dragon] 10%\-\Suzuki Jirou\\\Chaldea Boys Collection 2016
172\Noisy Obsession\4\9\0, 400\0, 1500\Increase Critical Strength by 15%; Increase NP Strength by 15%; Increase Charm Rate by 12%\Increase Critical Strength by 20%; Increase NP Strength by 20%; Increase Charm Rate by 15%\-\Kazuaki\\\Chaldea Boys Collection 2016
173\Last Encore\4\9\100, 100\100, 100\Increase Arts Card effectiveness by 10%; Gain 3 Critical Stars per turn\Increase Arts Card effectiveness by 10%; Gain 3 Critical Stars per turn\-\Takiyama Masaaki\\\Anime Japan 2016
174\Heaven's Feel (Anime Japan)\4\9\100, 100\100, 100\Increase Quick Card effectiveness by 10%; Increase NP Gauge by 40% at the start of battle\Increase Quick Card effectiveness by 10%; Increase NP Gauge by 40% at the start of battle\-\Sudou Tomonori (ufotable)\\\Anime Japan 2016
175\Ideal Holy King\5\12\400, 250\1600, 1000\Increase the Max HP of all allies (including Sub Members) by 1,000\Increase the Max HP of all allies (including Sub Members) by 1,200\-\Anmi\\
176\Record Holder\4\9\0, 400\0, 1500\Increase Debuff Success Rate by 15%\Increase Debuff Success Rate by 20%\-\Kinuta Kouji\\
177\Beast of Billows\3\5\0, 200\0, 1000\Increase NP Strength by 15% when equipped to a [Lancer] class\Increase NP Strength by 25% when equipped to a [Lancer] class\-\\\
178\Personal Training\5\12\400, 250\1600, 1000\Increase Master EXP from clearing quests by 2%\Increase Master EXP from clearing quests by 10%\-\Shima Shinoji\\\Da Vinci's Wokshop "Mana Prism Exchange"; Deadline: 30 June 2016
179\The Scholars of Chaldea\5\12\400, 250\1600, 1000\Increase NP Gauge by 30% at the start of battle; Increase HP Recovery Amount by 20%; Increase Manuscript (True) drop amount by 2; Increase Manuscript (Fake) drop amount by 2 [Da Vinci]\Increase NP Gauge by 50% at the start of battle; Increase HP Recovery Amount by 30%; Increase Manuscript (True) drop amount by 3; Increase Manuscript (Fake) drop amount by 3 [Da Vinci]\-\Cherokee\\\Da Vinci and the 7 Counterfeit Heroic Spirits
180\Maiden Leading Chaldea\5\12\0, 500\0, 2000\Gain 3 Critical Stars per turn; Increase Buster Card effectiveness by 10%; Increase appearance rate of (True) enemies by 100% [Da Vinci]\Gain 4 Critical Stars per turn; Increase Buster Card effectiveness by 15%; Increase appearance rate of (True) enemies by 200% [Da Vinci]\-\pako\\\Da Vinci and the 7 Counterfeit Heroic Spirits
181\The Merciless One\5\12\0, 500\0, 2000\Increase NP Gauge of all allies by 15% when defeated; Increase Buster Card effectiveness by 10%; Increase appearance rate of (Fake) enemies by 100% [Da Vinci]\Increase NP Gauge of all allies by 20% when defeated; Increase Buster Card effectiveness by 15%; Increase appearance rate of (Fake) enemies by 200% [Da Vinci]\-\Tsukimoto Aoi\\\Da Vinci and the 7 Counterfeit Heroic Spirits
182\Art of the Poisonous Snake\4\9\320, 200\1200, 750\Increase Arts Card effectiveness by 30% (3 turns); Increase Self Portrait (Fake) drop amount by 1 [Da Vinci]\Increase Arts Card effectiveness by 40% (3 turns); Increase Self Portrait (Fake) drop amount by 2 [Da Vinci]\-\Shinjirou\\\Da Vinci and the 7 Counterfeit Heroic Spirits
183\Art of Death\4\9\0, 400\0, 1500\Apply Special Attack [Humanoid] 25%; Increase Vitruvian Man (Fake) drop amount by 1 [Da Vinci]\Apply Special Attack [Humanoid] 30%; Increase Vitruvian Man (Fake) drop amount by 2 [Da Vinci]\-\Medori\\\Da Vinci and the 7 Counterfeit Heroic Spirits
184\Gentle Affection\4\9\600, 0\2250, 0\Increase Healing effectiveness by 15%; Increase Mona Lisa (Fake) drop amount by 1 [Da Vinci]\Increase Healing effectiveness by 20%; Increase Mona Lisa (Fake) drop amount by 2 [Da Vinci]\-\ReDrop\\\Da Vinci and the 7 Counterfeit Heroic Spirits
185\Volumen Hydrargyrum\5\12\750, 0\3000, 0\Apply Invincible (3 times); Apply Damage Plus 200; Increase Seal drops from the equipped Servant's class by 3 [Accel Zero Order]\Apply Invincible (3 times); Apply Damage Plus 300; Increase Seal drops from the equipped Servant's class by 4 [Accel Zero Order]\-\pako\\\Fate/Accel Zero Order
186\Innocent Maiden\4\9\320, 200\1200, 750\Increase NP Gauge by 4% per turn; Increase Quick Card effectiveness by 10%; Increase Seal drops from the equipped Servant's class by 2 [Accel Zero Order]\Increase NP Gauge by 5% per turn; Increase Quick Card effectiveness by 12%; Increase Seal drops from the equipped Servant's class by 3 [Accel Zero Order]\-\Sakamoto Mineji\\\Fate/Accel Zero Order
187\Self Geas Scroll\3\5\300, 0\1500, 0\Increase Stun Success Rate by 12%; Increase Seal drops from the equipped Servant's class by 1 [Accel Zero Order]\Increase Stun Success Rate by 15%; Increase Seal drops from the equipped Servant's class by 2 [Accel Zero Order]\-\\\\Fate/Accel Zero Order
188\Before Awakening\5\12\0, 500\0, 2000\Increase DEF by 8%; Increase Arts Card effectiveness by 8%; Increase Buster Card effectiveness by 8%; Increase Quick Card effectiveness by 8%; Increase Seal drops from the equipped Servant's class by 3 [Accel Zero Order]\Increase DEF by 10%; Increase Arts Card effectiveness by 10%; Increase Buster Card effectiveness by 10%; Increase Quick Card effectiveness by 10%; Increase Seal drops from the equipped Servant's class by 4 [Accel Zero Order]\-\Koyama Hirokazu\\\Fate/Accel Zero Order
189\His Rightful Place\5\12\400, 250\1600, 1000\Gain 3 Critical Stars per turn; Increase NP Gauge by 30% at the start of battle; Increase Seal drops from all classes by 2 [Accel Zero Order]\Gain 4 Critical Stars per turn; Increase NP Gauge by 50% at the start of battle; Increase Seal drops from all classes by 3 [Accel Zero Order]\-\Takeuchi Takashi\\\Fate/Accel Zero Order
190\Crest Worms\3\5\0, 0\0, 0\No Effect; Increase Craft Essence EXP by 6,000 when used as synthesis material.\\-\\EXPCard\\Fate/Accel Zero Order
191\Crown of the Star\4\9\100, 100\100, 100\When equipped to Altria (Saber) only. Increase ATK of all allies by 15% while she's on the field\\-\Yukisame & Akita Inu\\
192\Relic of a King\4\9\100, 100\100, 100\When equipped to Zhuge Liang (Caster) only. Increase Buster Card effectiveness of all allies by 15% while he's on the field\\-\\\
193\Triumph of the Lord Impaler\4\9\100, 100\100, 100\When equipped to Vlad III (Berserker) only. Increase NP Strength by 30%; 30% chance to increase NP Gauge by 5% during each normal attack\\-\\\
194\Revelation from Heaven\4\9\100, 100\100, 100\When equipped to Jeanne d'Arc (Ruler) only. Increase Buster Card effectiveness of all allies by 15% while she's on the field\\-\\\
195\Memories of the Dragon\4\9\100, 100\100, 100\When equipped to Altria [Alter] (Saber) only. Increase NP Strength by 30%; 30% chance to decrease target's DEF by 5% (3 turns) during each normal attack\\-\\\
196\Hunter of the Red Plains\4\9\100, 100\100, 100\When equipped to Emiya (Archer) only. Increase NP Strength by 30%; 30% chance to receive 5 Critical Stars during each normal attack\\-\\\
197\Castle of Snow\4\9\100, 100\100, 100\When equipped to Heracles (Berserker) only. Apply Guts (500 HP, 3 times)\\-\\\
198\Yggdrasil Tree\4\9\100, 100\100, 100\When equipped to Cu Chulainn (Caster) only. Increase NP Strength by 30%; 30% chance to restore own HP by 500 during each normal attack\\-\\\
199\Scorching Embrace\4\9\100, 100\100, 100\When equipped to Kiyohime (Berserker) only. Increase NP Strength by 30%; 30% chance to inflict 500 damage Burn (5 turns) during each normal attack\\-\\\
200\Worthless Jewel\4\9\100, 100\100, 100\When equipped to Mata Hari (Assassin) only. Increase NP Gain of all allies by 15% while she's on the field\\-\\\
201\Eternal Solitude\4\9\100, 100\100, 100\When equipped to Altera (Saber) only. Increase ATK of all allies by 15% while she's on the field\\-\Tawawa Minoru\\
202\Queen's Present\4\9\100, 100\100, 100\When equipped to D'Eon (Saber) only. Increase Arts Card effectiveness of all allies by 15% while she's on the field\\-\\\
203\Elixir\4\9\100, 100\100, 100\When equipped to Elisabeth (Lancer) only. Restore HP of all allies by 500 per turn while she's on the field\\-\\\
204\My Necklace\4\9\100, 100\100, 100\When equipped to Marie (Rider) only. Increase Critical Star Drop Rate of all allies by 20% while she's on the field\\-\\\
205\Staff He Gave Me\4\9\100, 100\100, 100\When equipped to Martha (Rider) only. Increase HP Recovery Amount of all allies by 30% while she's on the field\\-\\\
206\Iron Maiden\4\9\100, 100\100, 100\When equipped to Carmilla (Assassin) only. Increase NP Strength by 30%; 30% chance to inflict NP Seal (1 turn) during each normal attack\\-\\\
207\Cat Apron\4\9\100, 100\100, 100\When equipped to Tamamo Cat (Berserker) only. Increase Max HP all allies by 2,000 while she's on the field\\-\\\
208\Thirst for Victory\4\9\100, 100\100, 100\When equipped to Boudica (Rider) only. Increase Critical Star Drop Rate of all allies by 20% while she's on the field\\-\\\
209\To My Dear Friend\4\9\100, 100\100, 100\When equipped to Hans (Caster) only. Increase Debuff Resist of all allies by 30% while he's on the field\\-\Hayosena\\
210\Sacred Devotion\4\9\100, 100\100, 100\When equipped to Arash (Archer) only. Remove all Debuffs and restore HP of all allies by 5,000 when defeated\\-\\\
211\The Wandering Tales of Shana-oh\5\12\400, 250\1600, 1000\Increase Quick Card effectiveness by 10%; Increase Quick Card effectiveness of all allies by 20% (1 turn) when defeated; Increase ATK Strength by 200% [Rashomon]\Increase Quick Card effectiveness by 15%; Increase Quick Card effectiveness of all allies by 30% (1 turn) when defeated; Increase ATK Strength by 300% [Rashomon]\-\Sakamoto Mineji\\\The Demonic Capital: Rashomon
212\Golden Captures the Carp\5\12\0, 500\0, 2000\Increase NP Gauge by 30% at the start of battle; Gain 15 Critical Stars when entering the battle (1 time); Increase ATK Strength of all allies (including sub members) by 50% [Rashomon]\Increase NP Gauge by 50% at the start of battle; Gain 20 Critical Stars when entering the battle (1 time); Increase ATK Strength of all allies (including sub members) by 100% [Rashomon]\-\ReDrop\\\The Demonic Capital: Rashomon
213\A Fox Night's Dream\5\12\400, 250\1600, 1000\Increase NP Gain by 20%; Gain 3 Critical Stars per turn; Increase Oni Gourd drop amount by 3 [Rashomon]\Increase NP Gain by 25%; Gain 4 Critical Stars per turn; Increase Oni Gourd drop amount by 4 [Rashomon]\-\Kou Mashiro\\\The Demonic Capital: Rashomon
214\Burning Tale of Love\4\9\0, 400\0, 1500\Apply 25% Special Attack [Male]; Increase Debuff Success Rate by 12%; Increase Oni Gourd drop amount by 2 [Rashomon]\Apply 30% Special Attack [Male]; Increase Debuff Success Rate by 15%; Increase Oni Gourd drop amount by 3 [Rashomon]\-\Soga Makoto\\\The Demonic Capital: Rashomon
215\Reciting the Subscription List\3\5\300, 0\1500, 0\Apply Defense Debuff Immune (1 time);  Increase Oni Gourd drop amount by 1 [Rashomon]\Apply Defense Debuff Immune (2 times); Increase Oni Gourd drop amount by 2 [Rashomon]\-\Ikesin\\\The Demonic Capital: Rashomon
216\Key of the King's Law\4\9\100, 100\100, 100\When equipped to Gilgamesh (Archer) only. Increase NP Strength by 30%; 30% chance to increase own Critical Strength by 10% (3 turns) during each normal attack\\-\\\
217\Golden Glasses\4\9\100, 100\100, 100\When equipped to Kintoki (Berserker) only. Increase NP Strength by 30%; 30% chance to increase own NP Gauge by 5% during each normal attack\\-\\\
218\Thunderous Applause\4\9\100, 100\100, 100\When equipped to Nero (Saber) only. Increase Arts Card effectiveness of all allies by 15% while she's on the field\\-\\\
219\Das Rheingold\4\9\100, 100\100, 100\When equipped to Siegfried (Saber) only. Increase NP Gain of all allies by 15% while he's on the field\\-\\\
220\Radiance of the Goddess (Stheno)\4\9\100, 100\100, 100\When equipped to Stheno (Assassin) only. Increase Quick Card effectiveness of all allies by 15% while she's on the field\\-\\\
221\Voyage of the Flowers\4\9\100, 100\100, 100\When equipped to Altria [Lily] (Saber) only. Increase ATK of all allies by 10% while she's on the field; Increase Critical Star Drop Rate by 10% while she's on the field\\-\Akita Inu\\
222\Ark of the Covenant\4\9\100, 100\100, 100\When equipped to David (Archer) only. Increase NP Strength by 30%; 10% chance to inflict Death during each normal attack\\-\\\
